Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
before_main_menu_0ae9bcd0			game/script.rpy	897	"[what]"
before_main_menu_0ae9bcd0_1			game/script.rpy	976	"[what]"
before_main_menu_0ae9bcd0_2			game/script.rpy	1103	"[what]"
before_main_menu_0ae9bcd0_3			game/script.rpy	1126	"[what]"
demoEnd_0ae9bcd0			game/script.rpy	1264	"[what]"
demoEnd_0ae9bcd0_1			game/script.rpy	1268	"[what]"
demoEnd_0ae9bcd0_2			game/script.rpy	1272	"[what]"
chapter1_86267af8		This maybe happened, or maybe did not.	game/script.rpy	1310	"[what]"
chapter1_24b7f072		The time is long past, and much is forgot.	game/script.rpy	1311	"[what]"
chapter1_104e6378		Back in the old days, when wishing worked, your mother had twelve children and had to work night and day just to feed them.	game/script.rpy	1312	"[what]"
chapter1_3ae47f4f		When you were born as the thirteenth, she had no idea what to do. She took you up in her arms and ran into the darkness of the forest, promising that she would ask the first man she met to be your godfather.	game/script.rpy	1313	"[what]"
chapter1_970a3da6		Neither here nor there, but long ago...	game/script.rpy	1315	"[what]"
chapter1_ae5d5513		Back in the old days, when the gods were real, your mother had ten children and had to work night and day just to feed them.	game/script.rpy	1316	"[what]"
chapter1_3ff938b7		When you were born as the eleventh, she had no idea what to do. She took you up in her arms and ran into the darkness of the forest, promising that she would ask the first man she met to be your godfather.	game/script.rpy	1317	"[what]"
chapter1_546ca8a4		Once there was, and once there wasn't.	game/script.rpy	1319	"[what]"
chapter1_25a40660		In the long-distant days of yore, when haystacks winnowed sieves, when genies played jereed in the old bathhouse, fleas were barbers, camels were town criers, I softly rocked my baby grandmother to sleep in her creaking cradle, in an exotic land, far, far away, there was a woman with 4 children who had to work day and night just to feed them.	game/script.rpy	1320	"[what]"
chapter1_7aa1507b		When you were born to her as the fifth, she had no idea what to do. She took you up in her arms and ran into the darkness of the forest, promising that she would ask the first man she met to be your godfather.	game/script.rpy	1321	"[what]"
